"t
[s]","Io
[W/m2]","vo
[m/s]","To
[°C]","Tsky
[°C]","To_n
[°C]","CO2o_ppm
[ppm]","dayNR
[-]",RH           [%]
3600,0.00,1.0,-7.1,-14.3,-7.242,320,1,96.3
7200,0.00,0.5,-7.5,-14.7,-7.639,320,1,96.3
10800,0.00,1.0,-8.4,-12.4,-8.564,320,1,95.4
14400,0.00,1.5,-9.8,-17.0,-9.889,320,1,97.2
18000,0.00,1.5,-10,-17.2,-10.059,320,1,98.1
21600,0.00,1.5,-10,-17.2,-10.088,320,1,97.2
25200,0.00,1.5,-10.1,-17.3,-10.217,320,1,96.3
28800,0.00,3.0,-9.8,-13.8,-9.889,320,1,97.2
32400,19.44,1.5,-9.3,-13.3,-9.485,320,1,94.5
36000,80.56,2.5,-8.8,-12.8,-8.960,320,1,95.4
39600,91.67,3.5,-7.6,-11.6,-7.599,320,1,100.0
43200,80.56,3.0,-6.6,-10.6,-6.820,320,1,94.4
46800,33.33,3.5,-5.8,-9.8,-5.993,320,1,95.3
50400,33.33,4.0,-5.4,-9.4,-5.597,320,1,95.3
54000,33.33,4.0,-4.9,-8.9,-4.981,320,1,98.1
57600,8.33,3.5,-4,-8.0,-4.257,320,1,94.3
61200,0.00,3.5,-3.4,-7.4,-3.621,320,1,95.3
64800,0.00,2.0,-2.9,-6.9,-3.128,320,1,95.2
68400,0.00,2.5,-2.5,-6.5,-2.733,320,1,95.2
72000,0.00,1.5,-2.3,-6.3,-2.488,320,1,96.2
75600,0.00,2.0,-1.8,-5.8,-1.993,320,1,96.2
79200,0.00,1.5,-1.9,-5.9,-2.092,320,1,96.2
82800,0.00,2.0,-1.8,-5.8,-1.993,320,1,96.2
86400,0.00,2.0,-1.7,-5.7,-1.894,320,1,96.2
90000,0.00,2.5,-1.2,-5.2,-1.449,320,2,95.2
93600,0.00,2.0,-1.4,-5.4,-1.647,320,2,95.2
97200,0.00,1.5,-2.2,-9.4,-2.389,320,2,96.2
100800,0.00,1.5,-2.5,-9.7,-2.733,320,2,95.2
104400,0.00,1.0,-1.8,-9.0,-1.993,320,2,96.2
108000,0.00,1.0,-2.9,-13.3,-3.128,320,2,95.2
111600,0.00,1.0,-3.3,-13.7,-3.523,320,2,95.2
115200,2.78,1.0,-1.4,-11.8,-1.647,320,2,95.2
118800,2.78,1.0,0.2,-10.2,-0.131,320,2,94.1
122400,8.33,1.5,1.1,-2.9,0.806,320,2,94.9
126000,16.67,1.0,1.3,-2.7,1.004,320,2,94.9
129600,38.89,1.0,1.6,-3.4,1.360,320,2,96.0
133200,194.44,2.5,1.4,-3.6,1.102,320,2,94.9
136800,147.22,2.0,1.4,-3.6,0.922,320,2,91.9
140400,147.22,1.5,0.2,-8.0,-0.293,320,2,91.2
144000,8.33,1.5,-0.9,-12.3,-1.358,320,2,91.4
147600,0.00,2.0,-1.8,-16.4,-2.188,320,2,92.3
151200,0.00,2.0,-1.9,-16.5,-2.286,320,2,92.3
154800,0.00,1.5,-1.5,-16.1,-2.243,320,2,85.6
158400,0.00,2.0,-2.1,-19.9,-2.481,320,2,92.4
162000,0.00,2.5,-1.7,-19.5,-2.090,320,2,92.3
165600,0.00,1.5,-1.8,-19.6,-2.188,320,2,92.3
169200,0.00,2.5,-1.6,-19.4,-1.992,320,2,92.3
172800,0.00,2.5,-1.6,-19.4,-1.992,320,2,92.3
176400,0.00,2.5,-1.5,-19.3,-1.844,320,3,93.3
180000,0.00,2.5,-1.4,-19.2,-1.746,320,3,93.3
183600,0.00,3.0,-1.5,-5.5,-1.844,320,3,93.3
187200,0.00,2.0,-1.4,-5.4,-1.746,320,3,93.3
190800,0.00,2.0,-1.1,-5.1,-1.452,320,3,93.3
194400,0.00,1.5,-1.1,-5.1,-1.452,320,3,93.3
198000,0.00,1.5,-1.4,-5.4,-1.647,320,3,95.2
201600,0.00,1.5,-1.3,-5.3,-1.548,320,3,95.2
205200,8.33,1.0,-1,-5.0,-1.353,320,3,93.3
208800,33.33,1.0,-0.5,-4.5,-0.810,320,3,94.2
212400,55.56,1.5,-0.2,-4.2,-0.621,320,3,92.3
216000,66.67,2.5,-1.7,-5.7,-1.992,320,3,94.3
219600,66.67,2.5,-2.2,-6.2,-2.484,320,3,94.3
223200,19.44,1.5,-1.9,-5.9,-2.189,320,3,94.3
226800,8.33,3.5,-1.5,-5.5,-1.844,320,3,93.3
230400,8.33,3.5,-1.8,-5.8,-2.090,320,3,94.3
234000,0.00,3.0,-2.4,-9.6,-2.681,320,3,94.3
237600,0.00,2.5,-2.5,-9.7,-2.826,320,3,93.3
241200,0.00,2.0,-2.6,-6.6,-2.925,320,3,93.3
244800,0.00,2.0,-2.9,-6.9,-3.128,320,3,95.2
248400,0.00,4.5,-3.1,-7.1,-3.416,320,3,93.3
252000,0.00,3.5,-3.9,-11.1,-4.159,320,3,94.3
255600,0.00,2.5,-4.8,-15.2,-5.087,320,3,93.4
259200,0.00,3.0,-5.3,-15.7,-5.578,320,3,93.4
262800,0.00,2.5,-5.5,-15.9,-5.696,320,4,95.3
266400,0.00,2.0,-5.6,-16.0,-5.795,320,4,95.3
270000,0.00,1.0,-5.8,-16.2,-5.993,320,4,95.3
273600,0.00,1.0,-6,-16.4,-6.229,320,4,94.4
277200,0.00,1.5,-6.1,-16.5,-6.327,320,4,94.4
280800,0.00,1.5,-6.1,-16.5,-6.327,320,4,94.4
284400,0.00,1.5,-6,-16.4,-6.305,320,4,92.5
288000,0.00,1.0,-5.8,-16.2,-5.993,320,4,95.3
